rank,relevance_score,skim_tier,cluster,title,year,authors,venue,type,doi,openalex_id,cited_by_count,query_sources,concepts,keywords,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,extraction_confidence,abstract
1,187.386,hostile_prior_work,mobile manipulation and base placement,Kinematics and Local Motion Planning for Quasi-static Whole-body Mobile Manipulation,2016,Krishna Shankar,,dissertation,https://doi.org/10.7907/z9kk98rx.,https://openalex.org/W2516038218,3,whole body planning mobile manipulator manipulation,Kinematics; Mobile manipulator; Mobile robot; Task (project management); Base (topology); Motion planning; Control engineering; Robot; Computer science; Degrees of freedom (physics and chemistry); Engineering; Constraint (computer-aided design),Kinematics; Mobile manipulator; Mobile robot; Task (project management); Base (topology); Motion planning; Control engineering; Robot; Computer science; Degrees of freedom (physics and chemistry),Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"This thesis studies mobile robotic manipulators, where one or more robot manipulator arms are integrated with a mobile robotic base. The base could be a wheeled or tracked vehicle, or it might be a multi-limbed locomotor. As robots are increasingly deployed in complex and unstructured environments, the need for mobile manipulation increases. Mobile robotic assistants have the potential to revolutionize human lives in a large variety of settings including home, industrial and outdoor environments. Mobile Manipulation is the use or study of such mobile robots as they interact with physical objects in their environment. As compared to fixed base manipulators, mobile manipulators can take advantage of the base mechanism’s added degrees of freedom in the task planning and execution process. But their use also poses new problems in the analysis and control of base system stability, and the planning of coordinated base and arm motions. For mobile manipulators to be successfully and efficiently used, a thorough understanding of their kinematics, stability, and capabilities is required. Moreover, because mobile manipulators typically possess a large number of actuators, new and efficient methods to coordinate their large numbers of degrees of freedom are needed to make them practically deployable. This thesis develops new kinematic and stability analyses of mobile manipulation, and new algorithms to efficiently plan their motions. I first develop detailed and novel descriptions of the kinematics governing the operation of multi- limbed legged robots working in the presence of gravi..."
2,182.996,hostile_prior_work,grasp/contact manipulation,Visual Grasp Affordance Localization in Point Clouds Using Curved Contact Patches,2016,Dimitrios Kanoulas; Jinoh Lee; Darwin G. Caldwell; Nikos G. Tsagarakis,International Journal of Humanoid Robotics,article,https://doi.org/10.1142/s0219843616500286,https://openalex.org/W2560419594,19,robot contact affordance manipulation,GRASP; Computer science; Affordance; Computer vision; Artificial intelligence; Robot; Point cloud; Reachability; Object (grammar); Humanoid robot; Task (project management); Process (computing),GRASP; Computer science; Affordance; Computer vision; Artificial intelligence; Robot; Point cloud; Reachability; Object (grammar); Humanoid robot,Address a robotics or AI problem related to Visual Grasp Affordance Localization in Point Clouds Using Curved Contact Patches.,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Detecting affordances on objects is one of the main open problems in robotic manipulation. This paper presents a new method to represent and localize grasp affordances as bounded curved contact patches (paraboloids) of the size of the robotic hand. In particular, given a three-dimensional (3D) point cloud from a range sensor, a set of potential grasps is localized on a detected object by a fast contact patch fitting and validation process. For the object detection, three standard methods from the literature are used and compared. The potential grasps on the object are then refined to a single affordance using their shape (size and curvature) and pose (reachability and minimum torque effort) properties, with respect to the robot and the manipulation task. We apply the proposed method to a circular valve turning task, verifying the ability to accurately and rapidly localize grasp affordances, under significant uncertainty in the environment. We experimentally validate the method with the humanoid robot COMAN on 10 circular control valves fixed on a wall, from five different viewpoints and robot poses for each valve. We compare the reliability of the introduced local grasp affordances method to the baseline that relies only on object detection, illustrating the superiority of ours for the valve turning task."
3,158.946,hostile_prior_work,mobile manipulation and base placement,Optimal Base Placement and Motion Planning for Mobile Manipulators,2012,Bin Du; Jing Zhao; Chunyu Song,,article,https://doi.org/10.1115/detc2012-70600,https://openalex.org/W1974420912,6,mobile manipulation task planning base placement,Workspace; Mobile manipulator; Motion planning; Computer science; Base (topology); Task (project management); Point (geometry); Motion (physics); Parallel manipulator; Manipulator (device); Serial manipulator; Control theory (sociology),Workspace; Mobile manipulator; Motion planning; Computer science; Base (topology); Task (project management); Point (geometry); Motion (physics); Parallel manipulator; Manipulator (device),Choose base/whole-body configurations that make manipulation tasks feasible.,A sampling or optimization planner for continuous robot motion.,the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"A mobile manipulator typically consists of a mobile platform and a robotic manipulator mounted on the platform. The base placement of the platform has a great influence on whether the manipulator can perform a given task. In view of the issue, a new approach to optimize the base placement for a specified task is proposed in this paper. Firstly, the workspace of a redundant manipulator is investigated. The manipulation capability of the redundant manipulator is maximized based on the manipulability index through the joint self-motion of the redundant manipulator. Then the maximum manipulation capability in the specified work point is determined. Next, the relative manipulability index (RMI) is defined for analyzing manipulation capability of the manipulator in its workspace, and the global manipulability map (GMM) is presented based on the above measure. Moreover, the optimal base placement related to the given task is obtained, and the motion planning is implemented by an improved rapidly-exploring random tree (RRT) algorithm with the RMI, which can enhance the manipulation capability from the initial point to the target point. Finally, the feasibility of the proposed algorithm is illustrated with numerical simulations and experiments on the mobile manipulator."
4,158.609,hostile_prior_work,robot affordance learning,AffordGrasp: In-Context Affordance Reasoning for Open-Vocabulary Task-Oriented Grasping in Clutter,2025,Yingbo Tang; Shuaike Zhang; Xiaoshuai Hao; Pengwei Wang; Jianlong Wu; Zhongyuan Wang; Shanghang Zhang,,article,https://doi.org/10.1109/iros60139.2025.11245995,https://openalex.org/W4416750218,4,embodied AI manipulation affordance|robot manipulation clutter affordance,Affordance; GRASP; Computer science; Human–computer interaction; Task (project management); Embodied cognition; Object (grammar); Artificial intelligence; Robot; Field (mathematics); Visual reasoning; Task analysis,Affordance; GRASP; Task (project management); Embodied cognition; Object (grammar); Robot; Field (mathematics),Predict or learn where and how a robot can act on objects or parts from perception.,A large learned representation or transformer-conditioned manipulation module.,affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"Inferring the affordance of an object and grasping it in a task-oriented manner is crucial for robots to successfully complete manipulation tasks. Affordance indicates where and how to grasp an object by taking its functionality into account, serving as the foundation for effective task-oriented grasping. However, current task-oriented methods often depend on extensive training data that is confined to specific tasks and objects, making it difficult to generalize to novel objects and complex scenes. In this paper, we introduce AffordGrasp, a novel open-vocabulary grasping framework that leverages the reasoning capabilities of vision-language models (VLMs) for in-context affordance reasoning. Unlike existing methods that rely on explicit task and object specifications, our approach infers tasks directly from implicit user instructions, enabling more intuitive and seamless human-robot interaction in everyday scenarios. Building on the reasoning outcomes, our framework identifies task-relevant objects and grounds their part-level affordances using a visual grounding module. This allows us to generate task-oriented grasp poses precisely within the affordance regions of the object, ensuring both functional and context-aware robotic manipulation. Extensive experiments demonstrate that AffordGrasp achieves state-of-the-art performance in both simulation and real-world scenarios, highlighting the effectiveness of our method. We believe our approach advances robotic manipulation techniques and contributes to the broader field of embodied AI. Project website: https://eqcy.github.io/..."
5,156.579,hostile_prior_work,grasp/contact manipulation,Implicit contact-rich manipulation planning for a manipulator with insufficient payload,2023,Kento Nakatsuru; Weiwei Wan; Kensuke Harada,Robotic Intelligence and Automation,article,https://doi.org/10.1108/ria-02-2023-0018,https://openalex.org/W4382602107,7,robot contact affordance manipulation,GRASP; Payload (computing); Object (grammar); Computer science; Mobile manipulator; Trajectory; Motion (physics); Contact force; Kinematics; Robot; Plan (archaeology); Simulation,GRASP; Payload (computing); Object (grammar); Computer science; Mobile manipulator; Trajectory; Motion (physics); Contact force; Kinematics; Robot,Address a robotics or AI problem related to Implicit contact-rich manipulation planning for a manipulator with insufficient payload.,A sampling or optimization planner for continuous robot motion.,task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Purpose This paper aims to study using a mobile manipulator with a collaborative robotic arm component to manipulate objects beyond the robot’s maximum payload. Design/methodology/approach This paper proposes a single-short probabilistic roadmap-based method to plan and optimize manipulation motion with environment support. The method uses an expanded object mesh model to examine contact and randomly explores object motion while keeping contact and securing affordable grasping force. It generates robotic motion trajectories after obtaining object motion using an optimization-based algorithm. With the proposed method’s help, the authors plan contact-rich manipulation without particularly analyzing an object’s contact modes and their transitions. The planner and optimizer determine them automatically. Findings The authors conducted experiments and analyses using simulations and real-world executions to examine the method’s performance. The method successfully found manipulation motion that met contact, force and kinematic constraints. It allowed a mobile manipulator to move heavy objects while leveraging supporting forces from environmental obstacles. Originality/value This paper presents an automatic approach for solving contact-rich heavy object manipulation problems. Unlike previous methods, the new approach does not need to explicitly analyze contact states and build contact transition graphs, thus providing a new view for robotic grasp-less manipulation, nonprehensile manipulation, manipulation with contact, etc."
6,155.886,hostile_prior_work,robot affordance learning,RT-Affordance: Affordances are Versatile Intermediate Representations for Robot Manipulation,2025,Soroush Nasiriany; Sean Kirmani; Tianli Ding; Laura Smith; Yuke Zhu; Danny Driess; Dorsa Sadigh; Ted Xiao,arXiv (Cornell University),article,https://doi.org/10.1109/icra55743.2025.11127525,https://openalex.org/W4413925547,3,language conditioned robot manipulation affordance,Affordance; Computer science; Human–computer interaction; Robot; Artificial intelligence,Affordance; Computer science; Human–computer interaction; Robot; Artificial intelligence,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"We explore how intermediate policy representations can facilitate generalization by providing guidance on how to perform manipulation tasks. Existing representations such as language, goal images, and trajectory sketches have been shown to be helpful, but these representations either do not provide enough context or provide over-specified context that yields less robust policies. We propose conditioning policies on affordances, which capture the pose of the robot at key stages of the task. Affordances offer expressive yet lightweight abstractions, are easy for users to specify, and facilitate efficient learning by transferring knowledge from large internet datasets. Our method, RT-Affordance, is a hierarchical model that first proposes an affordance plan given the task language, and then conditions the policy on this affordance plan to perform manipulation. Our model can flexibly bridge heterogeneous sources of supervision including large web datasets and robot trajectories. We additionally train our model on cheap-to-collect in-domain affordance images, allowing us to learn new tasks without collecting any additional costly robot trajectories. We show on a diverse set of novel tasks how RT-Affordance exceeds the performance of existing methods by over 50 %, and we empirically demonstrate that affordances are robust to novel settings. Videos available at https://snasiriany. me/rt-affordance"
7,155.099,hostile_prior_work,mobile manipulation and base placement,Real-Time Collision-Free Motion Planning and Control for Mobile Manipulation with Quadrupeds,2023,Zhefeng Cao; Hua Chen; Sen Li; Wei Zhang,,article,https://doi.org/10.1109/robio58561.2023.10354901,https://openalex.org/W4390099508,2,task and motion planning mobile manipulation clutter|whole body planning mobile manipulator manipulation,Mobile manipulator; Trajectory; Collision avoidance; Computer science; Collision; Kinematics; Control theory (sociology); Motion planning; Simulation; Quadratic programming; Mobile robot; Task (project management),Mobile manipulator; Trajectory; Collision avoidance; Computer science; Collision; Kinematics; Control theory (sociology); Motion planning; Simulation; Quadratic programming,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"In this paper, we study the mobile manipulation problem with a quadruped-arm system in cluttered enviornment. To address this problem systematically, we propose a real-time collision-free motion planning and control framework that distributes the collision avoidance task into multiple layers. In details, we decompose the overall legged mobile manipulator system into a quadruped subsystem and an arm subsystem, plan the collision-free trajectories for the base and the end-effector while respecting their inherent kinematic constraint. Then with the guidance of the base and end-effector trajectories, we can find feasible velocity commands for the quadruped and the arm respectively by solving a quadratic programming problem with the collision-free constraint to guarantee safety of the whole body system. After getting the velocity commands for the quadruped, we further synthesize a customized model predicitve controller to track the given reference while incorporating the effect of the moving arm. The framework is validated by the navigation and manipulation tasks in simulation with a real legged-mobile manipulator system. In the experiments, the average computation time for our motion planner is 76 ms and the planned trajectory is smoother and faster than the existing motion planners. Simultaneously, the collision avoidance requirement can be obeyed during the whole process."
8,153.599,hostile_prior_work,mobile manipulation and base placement,Enabling Failure Recovery for On-The-Move Mobile Manipulation,2023,"Ben Burgess-Limerick; Leitner, Chris Lehnert Jurgen; Peter Corke",arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2305.08351,https://openalex.org/W4376653810,2,mobile manipulation task planning base placement,Computer science; Task (project management); Base (topology); Controller (irrigation); Mobile manipulator; Reliability (semiconductor); Range (aeronautics); Control (management); Mobile robot; Robot; Real-time computing; Control engineering,Computer science; Task (project management); Base (topology); Controller (irrigation); Mobile manipulator; Reliability (semiconductor); Range (aeronautics); Control (management); Mobile robot; Robot,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"We present a robot base placement and control method that enables a mobile manipulator to gracefully recover from manipulation failures while performing tasks on-the-move. A mobile manipulator in motion has a limited window to complete a task, unlike when stationary where it can make repeated attempts until successful. Existing approaches to manipulation on-the-move are typically based on open-loop execution of planned trajectories which does not allow the base controller to react to manipulation failures, slowing down or stopping as required. To overcome this limitation, we present a reactive base control method that repeatedly evaluates the best base placement given the robot's current state, the immediate manipulation task, as well as the next part of a multi-step task. The result is a system that retains the reliability of traditional mobile manipulation approaches where the base comes to a stop, but leverages the performance gains available by performing manipulation on-the-move. The controller keeps the base in range of the target for as long as required to recover from manipulation failures while making as much progress as possible toward the next objective. See https://benburgesslimerick.github.io/MotM-FailureRecovery for videos of experiments."
9,151.886,hostile_prior_work,mobile manipulation and base placement,Model-Free Large-Scale Cloth Spreading With Mobile Manipulation: Initial Feasibility Study,2023,Xiangyu Chu; Shengzhi Wang; Minjian Feng; Jiaxi Zheng; Yuxuan Zhao; Jing Huang; Kwok Wai Samuel Au,,article,https://doi.org/10.1109/case56687.2023.10260538,https://openalex.org/W4387123376,3,mobile manipulator reachability base pose manipulation,Computer science; Mobile manipulator; Workspace; Jacobian matrix and determinant; Modularity (biology); Reachability; Controller (irrigation); Trajectory; Scale (ratio); Artificial intelligence; Mobile robot; Robot,Computer science; Mobile manipulator; Workspace; Jacobian matrix and determinant; Modularity (biology); Reachability; Controller (irrigation); Trajectory; Scale (ratio); Artificial intelligence,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"Cloth manipulation is common in domestic and service tasks, and most studies use fixed-base manipulators to manipulate objects whose sizes are relatively small with respect to the manipulators' workspace, such as towels, shirts, and rags. In contrast, manipulation of large-scale cloth, such as bed making and tablecloth spreading, poses additional challenges of reachability and manipulation control. To address them, this paper presents a novel framework to spread large-scale cloth, with a single-arm mobile manipulator that can solve the reachability issue, for an initial feasibility study. On the manipulation control side, without modeling highly deformable cloth, a vision-based manipulation control scheme is applied and based on an online-update Jacobian matrix mapping from selected feature points to the end-effector motion. To coordinate the control of the manipulator and mobile platform, Behavior Trees (BTs) are used because of their modularity. Finally, experiments are conducted, including validation of the model-free manipulation control for cloth spreading in different conditions and the large-scale cloth spreading framework. The experimental results demonstrate the large-scale cloth spreading task feasibility with a single-arm mobile manipulator and the model-free deformation controller."
10,151.693,hostile_prior_work,robot affordance learning,DORA: Object Affordance-Guided Reinforcement Learning for Dexterous Robotic Manipulation,2025,Lei Zhang; Soumya Mondal; Zhenshan Bing; Kaixin Bai; Diwen Zheng; Zhaopeng Chen; Alois Knoll; Jianwei Zhang,ArXiv.org,article,https://doi.org/10.1109/cbs65871.2025.11267686,https://openalex.org/W4417169420,1,affordance learning robotic manipulation|dexterous manipulation affordance learning,GRASP; Affordance; Artificial intelligence; Object (grammar); Computer science; Reinforcement learning; Robotics; Task (project management); Human–computer interaction; Hammer; Function (biology); Robot,GRASP; Affordance; Object (grammar); Reinforcement learning; Robotics; Task (project management); Hammer; Function (biology); Robot; Curse of dimensionality,Predict or learn where and how a robot can act on objects or parts from perception.,A learned policy/value mechanism optimized from rewards or interaction data.,affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"Dexterous robotic manipulation remains a long-standing challenge in robotics due to the high dimensionality of control spaces and the semantic complexity of object interaction. In this paper, we propose an object affordance-guided reinforcement learning (RL) framework that enables a multi-fingered robotic hand to learn human-like manipulation strategies more efficiently. By leveraging object affordance maps, our approach generates semantically meaningful grasp pose candidates that serve as both policy constraints and priors during training. We introduce a voting-based grasp classification mechanism to ensure functional alignment between grasp configurations and object affordance regions. Furthermore, we incorporate these constraints into a generalizable RL pipeline and design a reward function that unifies affordance-awareness with task-specific objectives. Experimental results across three manipulation tasks-cube grasping, jug grasping and lifting, and hammer use-demonstrate that our affordance-guided approach improves task success rates by an average of 15.4% compared to baselines. These findings highlight the critical role of object affordance priors in enhancing sample efficiency and learning generalizable, semantically grounded manipulation policies. For more details, please visit our project website: https://sites.google.com/view/dora-manip."
